id,userId,notificationType,referenceKey,lastSentAt
1,1,leaderboard_entry_newArrivals,120005,2026-03-05 06:18:17
2,1,leaderboard_entry_bestSellers,120005,2026-03-05 06:18:17
30003,1,rank_improvement_bestSellers,120005,2026-03-05 11:47:51
30004,1,rank_improvement_newArrivals,150001,2026-03-05 11:47:51
30005,1,rank_improvement_mostPopular,120005,2026-03-05 11:47:51
30008,1,rank_improvement_newArrivals,120006,2026-03-05 11:51:21
60001,150001,leaderboard_entry_bestSellers,180002,2026-03-05 19:26:09
60002,150001,leaderboard_entry_mostPopular,180002,2026-03-05 19:26:09
60003,150001,leaderboard_entry_bestSellers,180001,2026-03-05 19:26:09
60004,150001,leaderboard_entry_newArrivals,180002,2026-03-05 19:26:09
60005,150001,leaderboard_entry_mostPopular,180001,2026-03-05 19:26:09
60006,150001,leaderboard_entry_newArrivals,180001,2026-03-05 19:26:10
90001,180001,leaderboard_entry_newArrivals,210002,2026-03-07 11:31:18
90002,1,rank_improvement_bestSellers,150001,2026-03-07 11:31:18
90003,1,rank_improvement_mostPopular,150001,2026-03-07 12:03:03
90004,1,rank_improvement_bestSellers,120006,2026-03-07 12:03:03
90005,1,rank_improvement_mostPopular,120006,2026-03-07 12:03:44
120001,180001,leaderboard_entry_bestSellers,210002,2026-03-07 13:54:51
150001,180001,leaderboard_entry_bestSellers,210001,2026-03-07 16:11:38
150002,180001,leaderboard_entry_mostPopular,210001,2026-03-07 16:11:39
150003,180001,leaderboard_entry_newArrivals,210001,2026-03-07 16:11:39
150004,180001,leaderboard_entry_mostPopular,210002,2026-03-07 16:11:41
180001,150001,rank_improvement_mostPopular,180002,2026-03-07 20:13:12
180002,150001,rank_improvement_bestSellers,180001,2026-03-07 20:29:56
210001,1,rank_improvement_newArrivals,420001,2026-03-14 11:23:12
210002,1,rank_improvement_bestSellers,420001,2026-03-14 11:23:12
210003,1,rank_improvement_mostPopular,420001,2026-03-14 11:23:12
